team_name,total_goals,matches_played,pct_0_15,pct_16_30,pct_31_45,pct_46_60,pct_61_75,pct_76_90,pct_90plus,penalty_rate,own_goal_rate,avg_goals_per_match,knockout_goal_ratio,mean_minute,cluster
algeria,13,7,7.6923,23.0769,23.0769,23.0769,15.3846,0.0,7.6923,0.0769,0.0,1.8571,0.0769,47.1538,4
angola,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,7
argentina,152,71,13.8158,15.7895,15.7895,18.4211,13.1579,19.7368,3.2895,0.0789,0.0132,2.1408,0.3224,49.1316,4
australia,17,12,11.7647,11.7647,17.6471,11.7647,17.6471,29.4118,0.0,0.2353,0.0588,1.4167,0.0588,53.6471,0
austria,43,20,11.6279,18.6047,11.6279,20.9302,13.9535,18.6047,4.6512,0.0698,0.0465,2.15,0.4186,50.5814,4
belgium,69,37,17.3913,11.5942,11.5942,14.4928,17.3913,20.2899,7.2464,0.0435,0.029,1.8649,0.3043,52.6522,4
bolivia,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,1
bosnia and herzegovina,4,2,0.0,25.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,62.5,2
brazil,237,98,12.2363,11.3924,16.0338,17.2996,24.8945,16.8776,1.2658,0.0422,0.0042,2.4184,0.4599,51.5781,4
bulgaria,22,15,27.2727,0.0,9.0909,13.6364,22.7273,27.2727,0.0,0.1364,0.0455,1.4667,0.1818,52.6364,2
cameroon,22,16,4.5455,9.0909,9.0909,13.6364,36.3636,18.1818,9.0909,0.0909,0.0,1.375,0.1818,60.9545,2
canada,2,2,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,21.0,3
chile,40,24,12.5,12.5,20.0,20.0,22.5,12.5,0.0,0.075,0.025,1.6667,0.175,49.0,4
colombia,32,18,3.125,12.5,12.5,12.5,21.875,34.375,3.125,0.0938,0.0,1.7778,0.1562,63.5,2
costa rica,22,14,4.5455,4.5455,9.0909,36.3636,22.7273,22.7273,0.0,0.0,0.0455,1.5714,0.0909,60.4091,2
croatia,43,22,13.9535,4.6512,18.6047,16.2791,18.6047,20.9302,6.9767,0.0465,0.0465,1.9545,0.4186,56.3721,4
cuba,5,2,0.0,0.0,20.0,40.0,20.0,0.0,20.0,0.0,0.0,2.5,1.0,64.8,6
czech republic,3,1,33.3333,0.0,33.3333,0.0,0.0,33.3333,0.0,0.0,0.0,3.0,0.0,39.0,4
czechoslovakia,44,22,15.9091,18.1818,9.0909,9.0909,13.6364,27.2727,6.8182,0.1591,0.0,2.0,0.5227,52.3636,4
denmark,31,18,22.5806,6.4516,19.3548,16.129,19.3548,16.129,0.0,0.129,0.0,1.7222,0.2581,45.1935,4
east germany,5,4,20.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,0.2,1.25,0.0,55.2,2
ecuador,14,9,14.2857,21.4286,14.2857,21.4286,14.2857,14.2857,0.0,0.0714,0.0,1.5556,0.0,42.3571,0
egypt,5,4,0.0,20.0,40.0,0.0,20.0,20.0,0.0,0.4,0.0,1.25,0.4,50.4,0
el salvador,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,1
england,104,55,10.5769,15.3846,23.0769,13.4615,17.3077,15.3846,4.8077,0.1154,0.0192,1.8909,0.3654,50.4615,4
france,136,57,9.5588,14.7059,18.3824,12.5,19.8529,19.8529,5.1471,0.1103,0.0441,2.386,0.4779,53.3676,4
germany,101,43,15.8416,15.8416,10.8911,14.8515,20.7921,18.8119,2.9703,0.0297,0.0297,2.3488,0.505,50.505,4
ghana,18,11,11.1111,16.6667,16.6667,11.1111,16.6667,22.2222,5.5556,0.1667,0.0,1.6364,0.1667,52.6667,4
greece,5,3,0.0,0.0,40.0,0.0,20.0,40.0,0.0,0.2,0.0,1.6667,0.2,67.4,2
haiti,2,2,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,54.5,1
honduras,3,3,33.3333,0.0,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,5
hungary,87,28,24.1379,11.4943,11.4943,18.3908,17.2414,14.9425,2.2989,0.046,0.023,3.1071,0.3563,45.5172,4
iceland,2,2,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.5,0.0,1.0,0.0,49.5,0
iran,13,10,0.0,0.0,23.0769,7.6923,15.3846,53.8462,0.0,0.1538,0.0769,1.3,0.0,71.7692,2
iraq,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,7
israel,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,7
italy,128,69,14.8438,17.9688,10.1562,11.7188,19.5312,19.5312,6.25,0.0625,0.0312,1.8551,0.4609,51.6016,4
